quantity,unit,ingredient,ingredient_step,recipe_id
45.0,ml,151-proof demerara rum,0,0
15.0,ml,lime juice,1,0
15.0,ml,sugar,2,0
1.0,dash,angostura bitters,3,0
6.0,drop,pernod,4,0
240.0,ml,crushed ice,5,0
60.0,ml,siete leguas blanco tequila,0,1
22.5,ml,marie brizard crme de cacao,1,1
22.5,ml,lemon juice,2,1
45.0,ml,plymouth gin,0,2
22.5,ml,mari brizard white crme de cacao,1,2
22.5,ml,lillet blanc,2,2
22.5,ml,lemon juice,3,2
45.0,ml,pernod,0,3
1.0,None,sugar,1,3
150.0,ml,cold filtered water,2,3
30.0,ml,gold tequila,0,4
30.0,ml,gold rum,1,4
60.0,ml,grapefruit juice,2,4
90.0,ml,pineapple juice,3,4
37.5,ml,brandy,0,5
15.0,ml,amontillado sherry,1,5
22.5,ml,lemon juice,2,5
1.0,tsp,lime juice,3,5
15.0,ml,demerara syrup,4,5
30.0,ml,water,5,5
45.0,ml,bulleit rye whisky,0,9
15.0,ml,bowmore islay scotch whisky,1,9
7.5,ml,spiced rich syrup,2,9
30.0,ml,southern comfort,0,11
30.0,ml,amaretto,1,11
15.0,ml,sloe gin,2,11
30.0,ml,orange juice,3,11
30.0,ml,southern comfort,0,12
30.0,ml,amaretto,1,12
15.0,ml,sloe gin,2,12
22.5,ml,lemon juice,3,12
,None,maraschino cherry,4,12
,None,lemon wedge,5,12
45.0,ml,gin,0,14
15.0,ml,yellow chartreuse,1,14
67.5,ml,gin,0,15
22.5,ml,yellow chartreuse,1,15
2.0,dash,orange bitter,2,15
30.0,ml,cognac,0,18
30.0,ml,crme de cacao,1,18
30.0,ml,cream,2,18
45.0,ml,grand marnier,0,19
22.5,ml,gin,1,19
22.5,ml,dry vermouth,2,19
7.5,ml,sweet vermouth,3,19
2.0,dash,angostura bitters,4,19
45.0,ml,rye,0,20
22.5,ml,dry vermouth,1,20
22.5,ml,pineapple juice,2,20
60.0,ml,rye,0,21
15.0,ml,dry vermouth,1,21
30.0,ml,pineapple juice,2,21
60.0,ml,rittenhouse rye,0,22
22.5,ml,noilly prat dry vermouth,1,22
22.5,ml,pineapple juice,2,22
45.0,ml,bourbon,0,23
22.5,ml,lemon juice,1,23
15.0,ml,galliano,2,23
1.0,tsp,orgeat syrup,3,23
150.0,ml,chilled club soda,4,23
60.0,ml,amaretto,0,24
45.0,ml,white crème de cacao,1,24
30.0,ml,heavy cream,2,24
45.0,ml,amaretto,0,25
22.5,ml,cask-strength bourbon,1,25
22.5,ml,lemon juice,2,25
1.0,tsp,rich simple syrup,3,25
15.0,ml,"egg white, beaten",4,25
60.0,ml,amaretto,0,26
22.5,ml,lemon juice,1,26
,None,maraschino cherry,2,26
30.0,ml,light rum,0,27
10.0,ml,apple schnapps,1,27
2.0,dash,passion fruit liqueur,2,27
30.0,ml,cranberry juice,3,27
30.0,ml,gin,0,28
30.0,ml,apricot brandy,1,28
30.0,ml,calvados,2,28
7.5,ml,crème de cacao,0,29
7.5,ml,crème de violette,1,29
7.5,ml,brandy,2,29
7.5,ml,heavy cream,3,29
60.0,ml,chilled white crème de cacao,0,30
15.0,ml,heavy cream,1,30
,None,maraschino cherry,2,30
45.0,ml,angostura bitters,0,31
22.5,ml,lime juice,1,31
30.0,ml,simple syrup,2,31
1.0,None,egg white,3,31
45.0,ml,gin,0,32
15.0,ml,bénédictine,1,32
60.0,ml,grapefruit juice,2,32
,None,orange slice,3,32
40.0,ml,campari,0,33
30.0,ml,noilly prat dry vermouth,1,33
30.0,ml,st. germain,2,33
45.0,ml,gin,0,35
15.0,ml,galliano,1,35
15.0,ml,crème de banane,2,35
15.0,ml,grapefruit juice,3,35
45.0,ml,rittenhouse rye,0,36
15.0,ml,noilly prat dry vermouth,1,36
7.5,ml,green chartreuse,2,36
7.5,ml,luxardo maraschino liqueur,3,36
60.0,ml,cognac,0,37
22.5,ml,lemon juice,1,37
22.5,ml,maraschino liquor,2,37
1.0,None,egg white,3,37
45.0,ml,cognac,0,38
22.5,ml,absinthe,1,38
1.0,tsp,maraschino,2,38
22.5,ml,lemon juice,3,38
2.0,tsp,egg white,4,38
45.0,ml,light rum,0,39
15.0,ml,apricot liqueur,1,39
75.0,ml,pineapple juice,2,39
22.5,ml,lemon juice,3,39
7.5,ml,galliano,4,39
,None,orange slice,5,39
60.0,ml,baileys,0,40
90.0,ml,chai,1,40
,None,sugar,2,40
,None,cinnamon stick,3,40
45.0,ml,gin,0,42
15.0,ml,maraschino,1,42
22.5,ml,lemon juice,2,42
45.0,ml,silver tequila,0,43
15.0,ml,cointreau,1,43
30.0,ml,lime juice,2,43
22.5,ml,lemon juice,3,43
0.25,cup,diced ripe avocado,4,43
30.0,ml,half-and-half,5,43
1.0,tsp,sugar,6,43
,None,lime wedge,7,43
,None,avocado slice,8,43
60.0,ml,bourbon,0,44
7.5,ml,crème de cacao,1,44
7.5,ml,galliano,2,44
22.5,ml,egg white,3,44
2.0,dash,aztec chocolate bitters,4,44
,None,nutmeg,5,44
15.0,ml,bénédictine,0,45
15.0,ml,cognac,1,45
20.0,ml,kahlua,0,46
20.0,ml,baileys irish cream,0,47
20.0,ml,grand marnier,1,47
45.0,ml,bacardi rum white,0,48
20.0,ml,lime juice,1,48
10.0,ml,grenadine,2,48
30.0,ml,dark rum,0,49
15.0,ml,coconut rum,1,49
15.0,ml,coffee liqueur,2,49
120.0,ml,pineapple juice,3,49
22.5,ml,lemon juice,4,49
1.0,tbsp,151-proof demerara rum,5,49
,None,pineapple wedge,6,49
,None,maraschino cherry,7,49
45.0,ml,gin,0,50
60.0,ml,guava nectar,1,50
15.0,ml,lime juice,2,50
30.0,ml,pomegranate syrup,3,50
120.0,ml,chilled club soda,4,50
,None,lime wheel,5,50
,None,orange blossom,6,50
30.0,ml,rum,0,52
20.0,ml,crème de cacao,1,52
15.0,ml,crème de banane,2,52
60.0,ml,heavy cream,3,52
1.0,None,"ripe banana, peeled and sliced",4,52
45.0,ml,gold rum,0,53
15.0,ml,galliano,1,53
60.0,ml,pineapple juice,2,53
1.0,dash,lime juice,3,53
,None,lime wedge,0,54
,None,sugar,1,54
60.0,ml,gold rum,2,54
15.0,ml,cointreau,3,54
7.5,ml,maraschino liqueur,4,54
7.5,ml,cherry brandy,5,54
15.0,ml,lime juice,6,54
,None,lime slice,7,54
60.0,ml,gin,0,55
15.0,ml,white crème de cacao,1,55
1.0,None,egg white,2,55
0.5,tsp,grenadine,3,55
60.0,ml,plymouth gin,0,58
22.5,ml,honey,1,58
22.5,ml,lemon juice,2,58
60.0,ml,gin,0,59
22.5,ml,honey,1,59
22.5,ml,lemon juice,2,59
